time,cluster_id,true_label,feature_1_activity_score,feature_2_reliability,feature_3_complexity,feature_4_temporal_behavior,feature_5_interaction_depth,feature_6_variability
0,0,1,-1.683260283801062,-0.6051806530577215,-2.3335077204934636,1.9608849672034294,0.23556694692781233,-2.0490458047940088
1,0,0,-1.4527334296811087,-1.3013145580715995,0.31396459535279786,0.1501471366701437,-0.5334708684448324,-1.7166169522566095
2,1,0,-2.2881894515349472,0.9315472686773796,2.247998213359817,1.1895442296313299,-0.010549771798829405,1.2721680654514722
3,2,0,0.2285885201014441,-2.0673173232316757,-1.1538546698277217,-1.1056196369157745,-1.138779230866297,1.6698995323796972
4,0,1,-0.9296500627293574,1.9900345881200612,0.7161736517470567,0.34362956861758825,0.9753817738234081,-1.5238410334953318
5,1,1,-0.10794363880761523,2.572870484673472,-2.2659683143543794,0.17924845728322514,0.44870381495129963,1.2381321939487042
6,0,0,0.6906072877960541,-0.4094051906361161,-0.031162908155210722,-0.33269774593175283,-0.5312158379094382,1.0593564260595059
7,0,1,0.3944415315762877,1.2307966948559341,-0.6969181607169932,-0.5632345459330907,-1.8134234522991837,-1.885926981253092
8,0,0,0.4342964781602134,-1.8475983525268416,-0.8627411571461936,-3.0196655262600607,-0.8402178570413572,0.9692729335646499
9,0,0,0.6029425547759569,-0.6127508047170181,1.3756576305099109,-2.5780990961508916,1.7328489366218123,2.9542171188761266
10,0,0,0.15954877082155422,-0.30704816955340575,2.24615900225482,-0.04658966121346597,0.6334158509976429,-0.5274422979567844
11,0,0,-2.401345916245569,-0.13620907420705816,1.0751152380601328,-0.4438814137029147,-1.0176546509657478,-0.022028872448204284
12,1,1,1.674543539056721,2.5517172192572133,0.9660777420460569,-0.11396820967090404,-0.5817549045300374,-2.355422027462237
13,1,1,0.06692348706771944,-0.4093926782516704,0.7443570572469558,2.240605942874161,0.033460871561922706,0.07989911402101524
14,1,1,2.7767548560733126,-0.04465947020949097,-1.5315803681298144,0.712030024723691,-1.4192785411624909,1.7607570139938713
15,0,0,-1.3383271051939643,1.0115074262225099,0.27282634104221787,-2.3989958092230865,0.5341883724425998,0.9511489668343853
16,1,0,-0.9348465365420698,2.262288967276935,2.356276909042088,-0.5965278585655863,1.6481069085914701,1.254896846545058
17,1,0,2.022998839413233,-1.1273420770629163,-0.07956517022123832,-1.865984179815795,-0.9621091186495891,1.1819320324427556
18,0,1,2.938540735386862,0.9662676502340886,0.5648831707277381,-0.8240233906271477,3.4483743146225603,1.2080554575720892
19,0,0,-1.2728804261408917,-0.7755136272919513,2.2905676976007587,1.275353696636032,-2.4755544384702413,0.5938243374102522
20,2,1,0.13705560071926015,3.545820735117462,-1.3465072127262399,0.899933041312032,-2.041223187403272,-1.3862996600665007
21,0,1,2.8102309193637476,-1.4197793803721988,-1.4339201467481388,0.5986665553250793,1.6428411368038112,-2.0436417609904347
22,0,1,1.3430776099215258,0.19800407935021969,-1.4522507241358582,1.1706107009849123,-1.1079873563355824,2.3216561999509433
23,0,1,0.23471485913472623,1.4879198169631827,-0.48341965610774956,-1.260821133812342,1.6572061323072136,0.9260928959730561
24,2,0,-2.2014609457829843,-0.9551796763033845,-0.6568813093773334,2.1062768525300806,1.0221377737045616,0.5232927713307675
25,2,0,-0.6969412897337552,-1.3625444963472324,1.2724785015952869,1.3986946598092933,-0.18473906892553515,2.7301579675887044
26,0,1,-0.07572931168947616,1.3702466821485404,-2.5300806886805196,1.9774338786436143,0.25873879697839236,1.6899662916330533
27,0,0,-0.576530632399432,-1.5699933085253899,-0.7377684917231484,-1.2322174920567885,0.29209451680253795,1.1820213080789075
28,0,1,0.9221712085743432,1.236228520327283,0.5635093130832015,1.0889001848370308,-0.964025644630695,-0.7888732458698007
29,0,1,3.679049112050702,0.1369081505648757,1.2988494552768346,-1.3771696403627978,-1.2885308731921197,-0.3515611533196546
30,0,0,-1.1998591905412765,0.2277956248718751,0.4964113944506273,0.68322264962423,1.042759136392266,0.35956053122877085
31,0,1,-0.5729765345013754,1.872251253062624,-2.681905828163478,-0.7444027663964624,0.12777683017992333,0.5709879901369838
32,0,1,1.1775136225140703,3.1224180984620267,-0.6546566962725846,0.8715230585769551,1.2886238656889906,2.216675945782546
33,0,1,-0.5613110816314099,-0.7109774173474019,-1.2396645503466646,1.4178010524591618,2.5905282085771173,-1.6831776293510274
34,0,1,0.9752217746068617,0.7420435184220548,1.130862050932964,-0.6741907243137903,-0.4068038037561913,-1.7415330455071356
35,0,0,-0.6398280472117419,-0.42524829398363617,-1.0552599456949556,-1.8687366836288049,-0.1719570947867754,-0.10184009068894262
36,0,0,0.9272175197401776,-2.916566068983118,-0.8542681876582678,0.63415577836526,-0.044512090111872515,-0.04994491336086937
37,0,1,1.6320409002043919,2.511303741912949,1.5142103514896441,-1.2257894779381335,-1.0655524655115243,0.5192306831270116
38,0,1,0.0362930882723963,0.883534106987603,0.018129910321082354,0.01416377638075339,-1.6671256998621797,-0.35416031248368635
39,0,1,2.470974179413539,2.49300703354179,-2.4685402093729656,0.38580403874552216,-1.541485858624035,-1.8813238487091262
40,0,1,-0.5855636010247582,-0.26502593851788864,-3.2441373613850173,0.13927997208147425,0.9312494772446476,0.12757473630712293
41,0,1,-3.3369852629764605,0.5926280287291871,-0.39651208368201635,-0.3559641454888176,-0.10895732327921959,-3.507275556465295
42,0,1,3.9179860217591704,-0.8199221792914915,-0.8901186323360544,2.0877209123428915,-2.4168219955844923,-0.29840022693859847
43,2,1,0.7174586841280512,-1.0264885785642477,-0.41359667718066395,-0.5993954244574466,1.5724110693114643,-0.17742503712421265
44,1,0,-2.9023768758986943,-1.928432192513784,0.8091517782678599,0.08180238841265797,-1.8720931889480674,1.3175296620584303
45,2,0,1.1770413916802525,-2.637635996584008,0.8854815345997203,3.1028667588520813,-1.2918096018347671,1.3986765853373742
46,0,0,0.23110503555837236,-1.273910994114114,1.0705669107985425,-0.16586431664446089,0.6429258537389506,1.829566317656948
47,1,1,1.086253671086943,1.819643653927936,-0.4859254575215338,-2.401882541743608,0.7360019365377422,1.628909530796112
48,0,1,0.40208484019175006,2.531443380815203,0.40604022942296436,0.5450948566394666,0.15741771179261999,-0.3361862504328995
49,0,1,-0.986135331604122,-0.6093179395476747,-0.8450928305844244,1.6050238348843566,-1.4858936487724304,-1.7600351579097064
50,1,0,-0.6741927342164125,-0.42266547505720353,-0.012545342671378634,-2.0492890642345065,-1.0543613902929896,-0.7869756572943782
51,2,0,-0.06474253610747926,-1.2553037492704855,1.9821437389590888,-0.5043743908278598,-0.019826228371661737,-0.5841786562404614
52,0,1,1.687467611850812,-2.9221230489949552,-2.2329308142443933,-0.6964090562148422,-0.3183079026724277,-1.1642252352735338
53,0,0,-0.32531308006724824,2.0072268752460287,0.47370431822367143,-1.515791880446904,0.2090482289125889,0.947765446019214
54,1,0,0.3646713718480994,-1.8498430686144838,0.7011640250330078,-2.7472633974823344,-0.8889218119361076,0.3058806001318677
55,0,1,-2.1208060554885906,2.8361672124131045,0.32901462827050537,0.05854860771972717,-0.9205305020258628,0.3403112850482082
56,0,0,0.4708922281279413,1.2426635585416723,1.4501068304721723,0.32355962286482454,-1.7733584633508093,0.6454599319502708
57,0,0,-0.39015763873899545,1.0096743480735582,2.200837403431744,0.26380581345481635,-1.6477200435094508,-2.0607939953755077
58,0,1,0.6297291650935382,-1.1135911525236677,1.4399498907296344,-0.6985105117953994,1.2026771504117653,-3.325621164302783
59,0,0,1.9109228466353403,1.7805493372253705,1.8820796802562751,-1.285554524886812,0.6198064825211247,2.7777835127790262
60,0,1,-0.9167672645197816,1.785068992875908,0.01322639434976125,0.8742041865379293,0.5944895743829461,0.7753332014970994
61,0,0,0.38861534664477726,0.9141313100595736,0.3009336658922095,-1.24590336161902,-0.1084315471335432,0.5182208880627738
62,0,1,-0.9772419069651761,-1.5004355197796988,-1.7172714718899105,2.360292646350178,0.63901862982325,0.4285457242556069
63,1,1,-0.3800585274342968,2.5738027854181014,1.1219915227389614,0.866723304005918,1.8628282448371696,-0.6552746275150935
64,0,0,-1.178202711470941,-1.9081992588175183,0.4647378081062241,-1.8967863866732322,0.14134158661880036,2.36598236286391
65,0,0,0.8381639294101432,-1.1240023542075235,-1.487957966880058,-0.06567635607478084,-1.2111468703144468,1.8466326897555274
66,0,1,2.9223980322925085,2.0643588977667715,-1.7243485730085568,0.27358064390134107,-2.180324470661207,-0.7233306001695363
67,0,1,2.595388136519944,1.24234816592607,-1.026726207143626,1.3099240959661473,0.6928806314365371,3.109338233678706
68,0,1,0.7629379684653043,1.1979840461087343,1.982665117080116,2.015866628243804,-0.2700607378193707,1.2151760551942465
69,2,0,-0.1371832217125354,1.478093456152564,1.4055195359442842,-0.7685766497374227,-1.0474808763435868,0.38380965133338707
70,1,1,2.7548929312763493,-1.2884065820537771,0.4494993014408457,0.024290109677051586,0.34382231987050227,-0.3737077376028365
71,1,1,1.7651850270265992,-0.7686720371338703,0.6161956023945139,0.43810745581498445,-2.0686211398455643,-1.9152632153075766
72,0,1,0.529095733439688,1.6479335576597154,-0.15842421402979,3.042398694529419,0.7142645451792229,-1.3624494988410016
73,0,1,-0.6568163370840696,1.9110827990193329,0.5887228383571735,2.5046652425403595,0.5478541433120987,1.196811341324673
74,1,0,-1.8044428696829917,-0.06468997403276824,-1.2870850755054146,-0.1676257271855479,-2.0210526955837347,0.7238657675534812
75,0,0,-1.462796388819104,-2.4737376937973257,-1.5876674768353674,-0.4500764440619097,2.3568513839975043,1.3423011554365414
